BarcodeNumber,Barcode,Name,Herd,Sample No.,Date,Inner,Outer,Fecal,Type
barcode01,25BSN019,RL13,RL,2,25/09/2025,Y,Y,Y,wbnp
barcode09,25BSN046,LB25,LB,1,1/25/2010,Y,Y,Y,wbnp
barcode17,25BSN107,HC33,HC,3,28/09/2025,Y,Y,Y,wbnp
barcode25,25BSN031,LB25,LB,4,1/25/2010,Y,Y,Y,wbnp
barcode33,25BSN069,RL13,RL,1,25/09/2025,Y,Y,Y,wbnp
barcode41,25BSN296,DO23,DO,3,26/09/2025,Y,Y,Y,wbnp
barcode49,25BSN294,HCB1,HC,1,29/09/2025,Y,N,Y,wbnp
barcode57,25BSN045,LB25,LB,4,1/25/2010,Y,Y,Y,wbnp
barcode65,25BSN292,HCRD,HC,4,28/09/2025,Y,Y,Y,wbnp
barcode73,25BSN133,DO23,DO,1,26/09/2025,Y,Y,Y,wbnp
barcode02,25BSN320,DO30,DO,2,26/09/2025,Y,Y,Y,wbnp
barcode10,25BSN355,GRS033,GRS,1,24/09/2025,Y,Y,Y,wbnp
barcode18,25BSN050,DO40ALT,DO,3,26/09/2025,Y,Y,Y,wbnp
barcode26,25BSN299,HCRD,HC,2,28/09/2025,Y,Y,Y,wbnp
barcode34,25BSN081,HCRD,HC,3,28/09/2025,Y,Y,Y,wbnp
barcode42,25BSN343,DO23,DO,2,25/09/2025,Y,Y,Y,wbnp
barcode50,25BSN380,DO30,DO,1,26/09/2025,Y,Y,Y,wbnp
barcode58,25BSN074,DO40ALT,DO,1,26/09/2025,Y,Y,Y,wbnp
barcode66,25BSN099,DO40ALT,DO,2,26/09/2025,Y,Y,Y,wbnp
barcode74,25BSN075,SWG1,DL,1,24/09/2025,Y,Y,Y,wbnp
barcode03,25BSN297,HCRD,HC,5,28/09/2025,Y,Y,Y,wbnp
barcode11,25BSN291,HC33,HC,5,28/09/2025,Y,Y,Y,wbnp
barcode19,25BSN339,RL13,RL,3,25/09/2025,Y,Y,Y,wbnp
barcode27,25BSN347,HCB1,HC,2,29/09/2025,N,Y,Y,wbnp
barcode35,25BSN121,HC33,HC,6,28/09/2025,N,N,Y,wbnp
barcode43,NEG_Extract,NEG_Extract,NEG_Extract,,,,,N,neg
barcode51,POS1,POS1,POS,,,,,N,pos
barcode59,POS2,POS2,POS,,,,,N,pos
barcode67,POS3,POS3,POS,,,,,N,pos
barcode75,POS4,POS4,POS,,,,,N,pos
barcode04,25BSN027,LB25,LB,3,1/25/2010,Y,Y,Y,wbnp
barcode12,25BSN039,NY17,NY,2,30/09/2025,Y,N,Y,wbnp
barcode20,25BSN033,LB25,LB,3,1/25/2010,Y,Y,Y,wbnp
barcode28,25BSN014,NY17,NY,1,30/09/2025,Y,N,Y,wbnp
barcode36,25BSN041,LB29,LB,1,1/25/2010,Y,Y,Y,wbnp
barcode44,25BSN290,LB29,LB,2,1/25/2010,Y,N,Y,wbnp
barcode52,25BSN352,DL37ALT,DL,2,26/09/2025,Y,Y,Y,wbnp
barcode60,25BSN022,LB21,LB,1,2/25/2010,Y,N,Y,wbnp
barcode68,25BSN032,LB29,LB,3,1/25/2010,Y,Y,Y,wbnp
barcode76,25BSN026,LB29,LB,5,1/25/2010,Yx2,N,Y,wbnp
barcode05,25BSN110,DL37ALT,DL,1,26/09/2025,Y,Y,Y,wbnp
barcode13,25BSN034,LB25,LB,2,1/25/2010,Y,Y,Y,wbnp
barcode21,25BSN288,DL37ALT,DL,3,26/09/2025,Y,Y,Y,wbnp
barcode29,25BSN109,HC10,HC,5,29/09/2025,Y,Y,Y,wbnp
barcode37,25BSN175,HCRD,HC,1,28/09/2025,Y,Y,Y,wbnp
barcode45,25BSN119,GRN35,GRN,1,27/09/2025,Y,Y,Y,wbnp
barcode53,25BSN180,HCB1,HC,3,29/09/2025,Y,N,Y,wbnp
barcode61,25BSN047,LB29,LB,4,1/25/2010,Y,Y,Y,wbnp
barcode69,25BSN300,HC33,HC,2,28/09/2025,Y,Y,Y,wbnp
barcode77,25BSN166,HC10,HC,4,29/09/2025,Y,Y,Y,wbnp
barcode06,25BSN308,HC10,HC,2,29/09/2025,Y,Y,Y,wbnp
barcode14,25BSN038,WP-MR-37,WP,1,27/09/2025,Y,Y,Y,wbnp
barcode22,25BSN091,WP-MR-42,WP,1,28/09/2025,Y,Y,Y,wbnp
barcode30,25BSN309,HC10,HC,1,29/09/2025,Y,Y,Y,wbnp
barcode38,25BSN123,HC33,HC,4,28/09/2025,Y,Y,Y,wbnp
barcode46,25BSN093,HC33,HC,1,28/09/2025,Y,Y,Y,wbnp
barcode54,25BSN293,HCB1,HC,4,29/09/2025,Y,N,Y,wbnp
barcode62,25BSN178,HC10,HC,3,29/09/2025,Y,Y,Y,wbnp
barcode70,NEG_PCR1,NEG_PCR1,NEG_PCR,,,,,N,neg
barcode78,NEG_PCR2,NEG_PCR2,NEG_PCR,,,,,N,neg
barcode81,Mik_Bison_A11,PANP004,PANP,,,,,Y,panp
barcode82,Mik_Bison_B11,PANP006,PANP,,,,,Y,panp
barcode83,Mik_Bison_C11,PANP008,PANP,,,,,Y,panp
barcode84,Mik_Bison_D11,PANP012,PANP,,,,,Y,panp
barcode85,Mik_Bison_E11,PANP014,PANP,,,,,Y,panp
barcode86,Mik_Bison_F11,NEG,NEG,,,,,Y,neg
barcode89,Mik_Bison_A12,PANP024,PANP,,,,,Y,panp
barcode90,Mik_Bison_B12,PANP026,PANP,,,,,Y,panp
barcode91,Mik_Bison_C12,PANP034,PANP,,,,,Y,panp
barcode92,Mik_Bison_D12,PANP035,PANP,,,,,Y,panp
barcode93,Mik_Bison_E12,PANP038,PANP,,,,,Y,panp
barcode94,Mik_Bison_F12,NEG,NEG,,,,,Y,neg
